Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94",Diode_SOD-123,94,D,
J1,OLED_128x32,1,OLED_128x32,
"SW1, SW10, SW11, SW16, SW17, SW18, SW19, SW2, SW21, SW22, SW23, SW24, SW26, SW27, SW28, SW29, SW3, SW31, SW32, SW33, SW34, SW36, SW37, SW38, SW39, SW4, SW41, SW42, SW43, SW44, SW46, SW47, SW48, SW49, SW5, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW7, SW73, SW74, SW75, SW76, SW77, SW78, SW79, SW8, SW80, SW81, SW82, SW83, SW84, SW85, SW86, SW87, SW88, SW89, SW9, SW90, SW91, SW92, SW93, SW94",Hotswap_MX_1.00u,79,SW_Push_45deg,
"SW12, SW70",Hotswap_MX_1.50u,2,SW_Push_45deg,
SW13,Hotswap_MX_1.75u,1,SW_Push_45deg,
"SW14, SW71",Hotswap_MX_2.25u,2,SW_Push_45deg,
"SW15, SW20, SW25, SW35, SW40, SW45, SW50",Hotswap_MX_1.25u,7,SW_Push_45deg,
SW30,Hotswap_MX_6.25u,1,SW_Push_45deg,
SW69,Hotswap_MX_2.00u,1,SW_Push_45deg,
SW72,Hotswap_MX_2.75u,1,SW_Push_45deg,
SW95,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
U1,Raspberry_Pi_Pico,1,Raspberry_Pi_Pico,
